NUM,EXPECTED,model_epoch_04_gs_30730_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お腹へって氏にそうだよ,12,4
3,水野先生がおっしゃったように,水の戦生がおっしゃったように,14,2
4,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,お母さん代わってあげられなくてごめんね,お母さん川って上げられなくてごめんね,19,3
6,お前がそんなことでどうすんだよ,お前がそんなことでどうすんだよ,15,0
7,あいつはそんなヤワじゃねえよ,相津はそんなやわじゃねえよ,14,5
8,あいつが折れそうになったら,相次がおれそうになったら,13,4
9,弘樹もここしょうゆついてる,広きもここ醤油付いてる,13,7
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,後ろから東安要試集めて,11,4
12,今年遊んどかないともう遊べないよ,今年遊どどかないともう遊べないよ,16,1
13,アクアトピアに乗りたい,悪あとピアニノリタイ,11,9
14,女ってよくしゃべんなあと思って,女ってよく社弁なあと思って,15,4
15,カメの餌やりとか金魚の餌やりとか,亀女さやりとか金魚の栄やりとか,16,5
16,そんなの誰かに頼めばいいじゃない,そんなの誰かに他の目バイイじゃない,16,6
17,薬の効果やリハビリの方法を,薬の広河やりはビリの方法を,13,4
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんな風に毎日少しずつ,12,2
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目をとじて次の日が来るのが怖い,16,3
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってるかもしれないと,17,0
23,でもお父さんが聞いたら大変だね,でもお父さんが聞いたら大変だね,15,0
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも迷惑かけちゃうかも,16,0
26,不公平なことをしようとしてるのは,不行へなことをしようとしてるのは,16,2
27,花火大会ぐらい一緒に行くでしょ,花美大会グライイッショに行きでしょ,15,9
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,神様は不公平だなんて言った,13,0
30,浴衣着て髪アップにしたら,床かきてカミアップにしたら,12,5
31,先輩きっとびっくりするわよ,先輩切っとびっくりするわよ,13,1
32,お母さんの後光が見えてきたような気がする,お母さんのごこうが見えてきたような気がする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱなつはゆかたと水家と,12,8
35,お友達もみんなついてるし,お友だちもみんなついてるし,12,2
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,効果には個人差があるので,12,0
40,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,お前たちもう遅いから寝なさい,お前たちもうおそいからねなさい,14,3
42,周りが目に入らなかったんだよ,周り側にはいらなかったんだよ,14,4
43,リハビリを担当する田辺です,リハビリを担当する棚部です,13,2
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,患者も意思も治療に戦年する,13,4
46,すぐお見舞い行かなきゃ,すぐおみまいいかなキャ,11,5
47,クラスのみんなに声かける,クラスのみんなにこえかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,あこおかあさんゆうがた病院よってくるから,17,9
49,遅くなると思うんだけど,おそくなると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべく早く替えるようにはするけど,16,2
51,わたしマミと約束あるんだから,私島と約束あるんだから,14,5
52,今は家族が一致団結して,今は家族が一田段結して,11,2
53,ガトーボヌールのケーキだ,がトUボヌUルのケUキだ,12,4
54,一応人数分買ってあるわよ,一応人数分かってあるわよ,12,1
55,麻生君に会いたくて来たのにね,麻生区んに合いたくてきたのにね,14,4
56,一応声はかけたんっすけどね,一応声は掛たんだけどね,13,4
57,何か感じが変わっちゃった,何か感じがかわっちゃった,12,1
58,今度は捕まんないようにしろよ,今度は使まんないように白よ,14,3
59,途中まで一緒にいたんだけど,途中まで一緒にいたんだけど,13,0
60,次の日川島で発見されたの,次の日代答で発見されたの,12,2
61,あんまり信用してないらしい,アンマリシン用してないらしい,13,6
62,友達来てくれてよかったわね,友だちきてくれてよかったわね,13,3
63,こんなにたくさんもらっちゃった,こんなにたくさんもラッチャッタ,15,6
64,動いてくると思いますけれども,動いてくると思いますけれども,14,0
