NUM,ROMAJI,EXPECTED
1,zuttosakinokotodakedone。,ずっと先のことだけどね。
2,onakahetteshinisoudayo。,おなか減って死にそうだよ。
3,omaena、monkubakkariitte。,お前な、文句ばっかり言って。
4,mizunosenseigaosshattayouni。,水野先生がおっしゃったように。
5,a也gaganbatteruuchinitokkouyakuya。,亜也が頑張ってるうちに特効薬や。
6,chiryouhougamitsukarukamoshirenai。,治療法が見つかるかもしれない。
7,okaasankawatteagerarenakutegomen'ne。,お母さん代わってあげられなくてごめんね。
8,omaegason'nakotodedousundayo。,お前がそんなことでどうすんだよ。
9,aitsuhason'nayawajaneeyo。,あいつはそんなヤワじゃねえよ。
10,aitsugaoresouninattara。,あいつが折れそうになったら。
11,hirokimokokoshouyutsuiteru。,弘樹もここしょうゆついてる。
12,watashinosekaihamarudekawatteshimatta。,わたしの世界はまるで変わってしまった。
13,ushirokaratouan'youshiatsumete。,後ろから答案用紙集めて。
14,kotoshiasondokanaitomouasobenaiyo。,今年遊んどかないともう遊べないよ。
15,akuatopianinoritai。,アクアトピアに乗りたい。
16,on'natteyokushaben'naatoomotte。,女ってよくしゃべんなあと思って。
17,kamenoesayaritokakingyonoesayaritoka。,カメの餌やりとか金魚の餌やりとか。
18,son'nanodarekanitanomebaiijanai。,そんなの誰かに頼めばいいじゃない。
19,kusurinokoukayarihabirinohouhouwo。,薬の効果やリハビリの方法を。
20,kakuninshitaitoomottemasu。,確認したいと思ってます。
21,kon'nafuunimainichisukoshizutsu。,こんなふうに毎日少しずつ。
22,nanikagadekinakunatteikuno。,何かができなくなっていくの。
23,mewotojitetsuginohigakurunogakowai。,目を閉じて次の日が来るのがこわい。
24,asagakitewarukunatterukamoshirenaito。,朝が来て悪くなってるかもしれないと。
25,demootousangakiitarataihendane。,でもお父さんが聞いたら大変だね。
26,dattewatashibyoukininacchattadesho。,だってわたし病気になっちゃったでしょ。
27,dakarasenpainimomeiwakukakechaukamo。,だから先輩にも迷惑かけちゃうかも。
28,a也hakamisamahafukouheidatteittakedo。,亜也は神様は不公平だって言ったけど。
29,fukouheinakotowoshiyoutoshiterunoha。,不公平なことをしようとしてるのは。
30,hanabitaikaiguraiisshoniikudesho。,花火大会ぐらい一緒に行くでしょ。
31,dekirukotojibunkaranagedasunante。,できること自分から投げ出すなんて。
32,kamisamahafukouheidananteitta。,神様は不公平だなんて言った。
33,yukatakitekamiappunishitara。,浴衣着て髪アップにしたら。
34,senpaikittobikkurisuruwayo。,先輩きっとびっくりするわよ。
35,okaasan'nogokougamietekitayounakigasuru。,お母さんの後光が見えてきたような気がする。
36,watashihajibunwoshinjitekoudousurebaii。,わたしは自分を信じて行動すればいい。
37,yappanatsuhayukatatosuikato。,やっぱ夏は浴衣とスイカと。
38,otomodachimomin'natsuiterushi。,お友達もみんなついてるし。
39,a也nobaaishinkougahayaiyoudesu。,亜也の場合進行が早いようです。
40,a也nitekishitakusuriyarihabirihouhouwo。,亜也に適した薬やリハビリ方法を。
41,mitsukeruhitsuyougaarimasu。,見つける必要があります。
42,natsuyasumiworiyoushitekensanotameno。,夏休みを利用して検査のための。
43,nyuuinwosaretehaikagadeshouka。,入院をされてはいかがでしょうか。
44,koukanihakojinsagaarunode。,効果には個人差があるので。
45,sukoshinagakunarukamoshirenaikara。,少し長くなるかもしれないから。
