NUM,ROMAJI,EXPECTED,GOT (M),SwiftKey 6.4.8.57 (S),FULL SCORE,M,S
SUMMARY,,,,,12953,10890/12953=0.84,11313/12953=0.87
1,zuttosakinokotodakedone。,ずっと先のことだけどね。,ずっと先のことだけどね。,ずっと先のことだけどね。,12,12,12
2,onakahetteshinisoudayo。,おなか減って死にそうだよ。,おなかへって指そうだよ。,お腹減って死にそうだよ。,13,10,11
3,mizunosenseigaosshattayouni。,水野先生がおっしゃったように。,水野先生がおっしゃったように。,水の先生が仰ったように。,15,15,10
4,chiryouhougamitsukarukamoshirenai。,治療法が見つかるかもしれない。,治療法が見つかるかもしれない。,治療法が見つかるかもしれない。,15,15,15
5,okaasankawatteagerarenakutegomen'ne。,お母さん代わってあげられなくてごめんね。,お母さんかわってあげられなくてごとね。,お母さん変わってあげられなくてごめんね。,20,17,19
6,omaegason'nakotodedousundayo。,お前がそんなことでどうすんだよ。,お前がそんなことでどうんだよ。,お前がそんな事でどうすんだよ。,16,15,14
7,aitsuhason'nayawajaneeyo。,あいつはそんなヤワじゃねえよ。,相次はそんなやカラじゃねえよ。,あいつはそんなやわじゃねえよ。,15,9,13
8,aitsugaoresouninattara。,あいつが折れそうになったら。,あいつがおれそうになったら。,アイツが折れそうになったら。,14,13,11
9,hirokimokokoshouyutsuiteru。,弘樹もここしょうゆついてる。,広きもここ醤油付いてる。,ひろきもここ醤油ついてる。,14,7,7
10,watashinosekaihamarudekawatteshimatta。,わたしの世界はまるで変わってしまった。,私の世界はまるで変わってしまった。,私の世界はまるで変わってしまった。,19,16,16
11,ushirokaratouan'youshiatsumete。,後ろから答案用紙集めて。,後ろから唐倒よう仕極めて。,後ろから答案用紙集めて。,12,6,12
12,kotoshiasondokanaitomouasobenaiyo。,今年遊んどかないともう遊べないよ。,今年遊んどかないともう遊べないよ。,今年遊んどかないともう遊べないよ。,17,17,17
13,akuatopianinoritai。,アクアトピアに乗りたい。,アクアとピアに乗りたい。,アクアとぴあに乗りたい。,12,11,9
14,on'natteyokushaben'naatoomotte。,女ってよくしゃべんなあと思って。,女ってよくしゃべんなあと思って。,女ってよくしゃべんなあと思って。,16,16,16
15,kamenoesayaritokakingyonoesayaritoka。,カメの餌やりとか金魚の餌やりとか。,亀のエサリとか金金のおやさりとか。,亀の餌やりとか金魚のえさやりとか。,17,9,13
16,son'nanodarekanitanomebaiijanai。,そんなの誰かに頼めばいいじゃない。,そんなの誰かに頼めない場じゃない。,そんなの誰かに頼めばいいじゃない。,17,15,17
17,kusurinokoukayarihabirinohouhouwo。,薬の効果やリハビリの方法を。,薬の効果やりはビリの方を。,薬の効果やリハビリの方法を。,14,11,14
18,kakuninshitaitoomottemasu。,確認したいと思ってます。,確認したいと思ってます。,確認したいと思ってます。,12,12,12
19,kon'nafuunimainichisukoshizutsu。,こんなふうに毎日少しずつ。,こんなふうに毎日少しずつ。,こんなふうに毎日少しずつ。,13,13,13
20,nanikagadekinakunatteikuno。,何かができなくなっていくの。,何かができなくなっていくの。,何かができなくなっていくの。,14,14,14
21,mewotojitetsuginohigakurunogakowai。,目を閉じて次の日が来るのがこわい。,目をとじ手次の日が来るのが怖い。,目を閉じて次の日が来るのが怖い。,17,13,15
22,asagakitewarukunatterukamoshirenaito。,朝が来て悪くなってるかもしれないと。,朝が来てわるくなってるかもしれないと。,朝がきて悪くなってるかもしれないと。,18,16,17
23,demootousangakiitarataihendane。,でもお父さんが聞いたら大変だね。,でも倒父さんが聞いたら大変だね。,でもお父さんが聞いたら大変だね。,16,15,16
24,dattewatashibyoukininacchattadesho。,だってわたし病気になっちゃったでしょ。,だって私病気になっちゃったでしょ。,だって私病気になっちゃったでしょ。,19,16,16
25,dakarasenpainimomeiwakukakechaukamo。,だから先輩にも迷惑かけちゃうかも。,だから先輩にも迷惑かけ？,だから先輩にも迷惑かけちゃうかも。,17,11,17
26,fukouheinakotowoshiyoutoshiterunoha。,不公平なことをしようとしてるのは。,不好評なことを使用としてるのは。,不公平なことをしようとしてるのは。,17,12,17
27,hanabitaikaiguraiisshoniikudesho。,花火大会ぐらい一緒に行くでしょ。,花火大会ぐらいいっしょに行くでしょ。,花火大会ぐらい一緒に行くでしょ。,16,12,16
28,dekirukotojibunkaranagedasunante。,できること自分から投げ出すなんて。,できること自分から投げ出すなんて。,できること自分から投げ出すなんて。,17,17,17
29,kamisamahafukouheidananteitta。,神様は不公平だなんて言った。,神様は不好平なんていった。,神様は不公平だなんて行った。,14,11,13
30,yukatakitekamiappunishitara。,浴衣着て髪アップにしたら。,浴衣的にカアップにしたら。,浴衣着て髪アップにしたら。,13,10,13
31,senpaikittobikkurisuruwayo。,先輩きっとびっくりするわよ。,先輩キッとびっくりするわよ。,先輩きっとびっくりするわよ。,14,12,14
32,okaasan'nogokougamietekitayounakigasuru。,お母さんの後光が見えてきたような気がする。,お母さんのご高が見えてきたような気がする。,お母さんの後光が見えてきたような気がする。,21,19,21
33,watashihajibunwoshinjitekoudousurebaii。,わたしは自分を信じて行動すればいい。,私は自分を信じて航道すればいい。,私は自分を信じて行動すればいい。,18,13,15
34,yappanatsuhayukatatosuikato。,やっぱ夏は浴衣とスイカと。,やっぱ夏はゆかたと推可。,やっぱ夏は浴衣とすいかと。,13,6,10
35,otomodachimomin'natsuiterushi。,お友達もみんなついてるし。,お友達もみんなついてるし。,お友達もみんなついてるし。,13,13,13
36,mitsukeruhitsuyougaarimasu。,見つける必要があります。,見つける必要があります。,見つける必要があります。,12,12,12
37,natsuyasumiworiyoushitekensanotameno。,夏休みを利用して検査のための。,夏休みを利用して検査のための。,夏休みを利用して検査のための。,15,15,15
38,nyuuinwosaretehaikagadeshouka。,入院をされてはいかがでしょうか。,入院をされてはいかがでしょうか。,入院をされてはいかがでしょうか。,16,16,16
39,koukanihakojinsagaarunode。,効果には個人差があるので。,効果には個人差があるので。,効果には個人差があるので。,13,13,13
40,sukoshinagakunarukamoshirenaikara。,少し長くなるかもしれないから。,少し長くなるかもしれないから。,少し長くなるかもしれないから。,15,15,15
41,omaetachimouosoikaranenasai。,お前たちもう遅いから寝なさい。,お前たちもうおそからねなさい。,お前たちもう遅いから寝なさい。,15,12,15
42,mawarigamenihairanakattandayo。,周りが目に入らなかったんだよ。,周りが目に入らなかったんだよ。,周りが目に入らなかったんだよ。,15,15,15
43,rihabiriwotantousurutanabedesu。,リハビリを担当する田辺です。,リハビリを担当するたなべゅです。,リハビリを担当する田辺です。,14,10,14
44,shokkumokangaetemiroyo。,ショックも考えてみろよ。,ショックも考えてみろよ。,ショックも考えてみろよ。,12,12,12
45,kanjamoishimochiryounisen'nensuru。,患者も医師も治療に専念する。,患者もいしもちょうに先線する。,患者も石も治療にせんえんする。,14,7,8
46,suguomimaiikanakya。,すぐお見舞い行かなきゃ。,すぐお見いいかなきゃ。,すぐお見舞い行かなきゃ。,12,10,12
47,kurasunomin'nanikoekakeru。,クラスのみんなに声かける。,クラスのみんなに声掛ける。,クラスのみんなに声かける。,13,12,13
48,akookaasan'yuugatabyouin'yottekurukara。,亜湖お母さん夕方病院寄ってくるから。,赤岡さん左夕た病院よってくるから。,あこお母さん夕方病院ょってくるから。,18,11,15
49,osokunarutoomoundakedo。,遅くなると思うんだけど。,遅くなると思うんだけど。,遅くなると思うんだけど。,12,12,12
50,narubekuhayakukaeruyounihasurukedo。,なるべく早く帰るようにはするけど。,なるべく早く変えるように走るけど。,なるべく早く帰るようにはするけど。,17,13,17
51,watashimamitoyakusokuarundakara。,わたしマミと約束あるんだから。,私嶋と約束あるんだから。,私まみと約束あるんだから。,15,10,10
