NUM,EXPECTED,model_epoch_01_gs_30730_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,おなか減って死にそうだよ,お腹ヘッテ氏にそうだよ,12,6
3,水野先生がおっしゃったように,水の先生がおっしゃったように,14,1
4,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,お母さん代わってあげられなくてごめんね,お母さんかわってあげられなくてごめんね,19,1
6,お前がそんなことでどうすんだよ,お前がそんなことで動水だよ,15,4
7,あいつはそんなヤワじゃねえよ,あいつはそんな和じゃねえよ,14,2
8,あいつが折れそうになったら,あいつがおれそうになったら,13,1
9,弘樹もここしょうゆついてる,広きもここしょうゆついてる,13,2
10,わたしの世界はまるで変わってしまった,私の世界はまるで変わってしまった,18,3
11,後ろから答案用紙集めて,後ろから登案用紙あつめて,11,3
12,今年遊んどかないともう遊べないよ,今年アソンドかないともう遊べないよ,16,4
13,アクアトピアに乗りたい,アクアとピアに乗りたい,11,1
14,女ってよくしゃべんなあと思って,女ってよくしゃべんなあと思って,15,0
15,カメの餌やりとか金魚の餌やりとか,亀のエサやリとか金魚のエサやりとか,16,7
16,そんなの誰かに頼めばいいじゃない,そんなの誰かに他の目ばいいじゃない,16,3
17,薬の効果やリハビリの方法を,薬の効果やりはビリの方法を,13,2
18,確認したいと思ってます,確認したいと思ってます,11,0
19,こんなふうに毎日少しずつ,こんなふうに毎日少しずつ,12,0
20,何かができなくなっていくの,何かができなくなっていくの,13,0
21,目を閉じて次の日が来るのがこわい,目を閉じて次の日が来るのが怖い,16,2
22,朝が来て悪くなってるかもしれないと,朝が来て悪くなってるかもしれないと,17,0
23,でもお父さんが聞いたら大変だね,でもお父さんが聞いたら大変だね,15,0
24,だってわたし病気になっちゃったでしょ,だって私病気になっちゃったでしょ,18,3
25,だから先輩にも迷惑かけちゃうかも,だから先輩にも迷惑かけちゃうかも,16,0
26,不公平なことをしようとしてるのは,不幸兵なことをしようとしてるのは,16,2
27,花火大会ぐらい一緒に行くでしょ,花火大会ぐらい一緒に行くでしょ,15,0
28,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,神様は不公平だなんて言った,神様は不光兵打なんていった,13,4
30,浴衣着て髪アップにしたら,浴かたきて紙アップにしたら,12,4
31,先輩きっとびっくりするわよ,先輩キットビックリするわよ,13,7
32,お母さんの後光が見えてきたような気がする,お母さんのごこうが見えてきたような気がする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,やっぱ夏は浴衣とスイカと,やっぱ夏は浴かたと水かと,12,5
35,お友達もみんなついてるし,お友達もみんなついてるし,12,0
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏休みを利用して検査のための,14,0
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,効果には個人差があるので,12,0
40,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,お前たちもう遅いから寝なさい,お前たちもう遅いからねなさい,14,1
42,周りが目に入らなかったんだよ,周りが目に入らなかったんだよ,14,0
43,リハビリを担当する田辺です,リハビリを担当する田鍋です,13,1
44,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,患者も医師も治療に専念する,患者も石も治療に専念する,13,2
46,すぐお見舞い行かなきゃ,すぐお見まいいかなきゃ,11,2
47,クラスのみんなに声かける,クラスのみんなに超えかける,12,2
48,亜湖お母さん夕方病院寄ってくるから,憧っか朝さん遊方病引よってくるから,17,7
49,遅くなると思うんだけど,遅くなると思うんだけど,11,0
50,なるべく早く帰るようにはするけど,なるべくは約買えるようにはするけど,16,4
51,わたしマミと約束あるんだから,私まみと約束アルンだから,14,8
52,今は家族が一致団結して,今は家族が一致断結して,11,1
