NUM	ROMAJI	EXPECTED	GOT (M)	SwiftKey 6.4.8.57 (S)	FULL SCORE	M
1	zuttosakinokotodakedone。	ずっと先のことだけどね。	ずっと先のことだけどね。	ずっと先のことだけどね。	12	12
2	onakahetteshinisoudayo。	おなか減って死にそうだよ。	おなかへって指そうだよ。	お腹減って死にそうだよ。	13	10
3	mizunosenseigaosshattayouni。	水野先生がおっしゃったように。	水野先生がおっしゃったように。	水の先生が仰ったように。	15	15
4	chiryouhougamitsukarukamoshirenai。	治療法が見つかるかもしれない。	治療法が見つかるかもしれない。	治療法が見つかるかもしれない。	15	15
5	okaasankawatteagerarenakutegomen'ne。	お母さん代わってあげられなくてごめんね。	お母さんかわってあげられなくてごとね。	お母さん変わってあげられなくてごめんね。	20	17
6	omaegason'nakotodedousundayo。	お前がそんなことでどうすんだよ。	お前がそんなことでどうんだよ。	お前がそんな事でどうすんだよ。	16	15
7	aitsuhason'nayawajaneeyo。	あいつはそんなヤワじゃねえよ。	相次はそんなやカラじゃねえよ。	あいつはそんなやわじゃねえよ。	15	9
8	aitsugaoresouninattara。	あいつが折れそうになったら。	あいつがおれそうになったら。	アイツが折れそうになったら。	14	13
9	hirokimokokoshouyutsuiteru。	弘樹もここしょうゆついてる。	広きもここ醤油付いてる。	ひろきもここ醤油ついてる。	14	7
10	watashinosekaihamarudekawatteshimatta。	わたしの世界はまるで変わってしまった。	私の世界はまるで変わってしまった。	私の世界はまるで変わってしまった。	19	16
11	ushirokaratouan'youshiatsumete。	後ろから答案用紙集めて。	後ろから唐倒よう仕極めて。	後ろから答案用紙集めて。	12	6
12	kotoshiasondokanaitomouasobenaiyo。	今年遊んどかないともう遊べないよ。	今年遊んどかないともう遊べないよ。	今年遊んどかないともう遊べないよ。	17	17
13	akuatopianinoritai。	アクアトピアに乗りたい。	アクアとピアに乗りたい。	アクアとぴあに乗りたい。	12	11
14	on'natteyokushaben'naatoomotte。	女ってよくしゃべんなあと思って。	女ってよくしゃべんなあと思って。	女ってよくしゃべんなあと思って。	16	16
15	kamenoesayaritokakingyonoesayaritoka。	カメの餌やりとか金魚の餌やりとか。	亀のエサリとか金金のおやさりとか。	亀の餌やりとか金魚のえさやりとか。	17	9
16	son'nanodarekanitanomebaiijanai。	そんなの誰かに頼めばいいじゃない。	そんなの誰かに頼めない場じゃない。	そんなの誰かに頼めばいいじゃない。	17	15
17	kusurinokoukayarihabirinohouhouwo。	薬の効果やリハビリの方法を。	薬の効果やりはビリの方を。	薬の効果やリハビリの方法を。	14	11
18	kakuninshitaitoomottemasu。	確認したいと思ってます。	確認したいと思ってます。	確認したいと思ってます。	12	12
19	kon'nafuunimainichisukoshizutsu。	こんなふうに毎日少しずつ。	こんなふうに毎日少しずつ。	こんなふうに毎日少しずつ。	13	13
20	nanikagadekinakunatteikuno。	何かができなくなっていくの。	何かができなくなっていくの。	何かができなくなっていくの。	14	14
21	mewotojitetsuginohigakurunogakowai。	目を閉じて次の日が来るのがこわい。	目をとじ手次の日が来るのが怖い。	目を閉じて次の日が来るのが怖い。	17	13
22	asagakitewarukunatterukamoshirenaito。	朝が来て悪くなってるかもしれないと。	朝が来てわるくなってるかもしれないと。	朝がきて悪くなってるかもしれないと。	18	16
